Processor,Time,Bags
BELT 1,1:06:00 AM,0
BELT 2,1:06:00 AM,0
BELT 4,1:06:00 AM,0
BELT 3,1:06:00 AM,0
BELT 1,1:07:00 AM,0
BELT 2,1:07:00 AM,0
BELT 4,1:07:00 AM,0
BELT 3,1:07:00 AM,0
BELT 1,1:08:00 AM,0
BELT 2,1:08:00 AM,0
BELT 4,1:08:00 AM,0
BELT 3,1:08:00 AM,0
BELT 1,1:09:00 AM,0
BELT 2,1:09:00 AM,0
BELT 4,1:09:00 AM,0
BELT 3,1:09:00 AM,0
BELT 1,1:10:00 AM,0
BELT 2,1:10:00 AM,0
BELT 4,1:10:00 AM,0
BELT 3,1:10:00 AM,0
BELT 1,1:11:00 AM,0
BELT 2,1:11:00 AM,0
BELT 4,1:11:00 AM,0
BELT 3,1:11:00 AM,0
BELT 1,1:12:00 AM,0
BELT 2,1:12:00 AM,0
BELT 4,1:12:00 AM,0
BELT 3,1:12:00 AM,0
BELT 1,1:13:00 AM,0
BELT 2,1:13:00 AM,0
BELT 4,1:13:00 AM,0
BELT 3,1:13:00 AM,0
BELT 1,1:14:00 AM,0
BELT 2,1:14:00 AM,0
BELT 4,1:14:00 AM,0
BELT 3,1:14:00 AM,0
BELT 1,1:15:00 AM,0
BELT 2,1:15:00 AM,0
BELT 4,1:15:00 AM,0
BELT 3,1:15:00 AM,0
BELT 1,1:16:00 AM,0
BELT 2,1:16:00 AM,0
BELT 4,1:16:00 AM,0
BELT 3,1:16:00 AM,0
BELT 1,1:17:00 AM,0
BELT 2,1:17:00 AM,0
BELT 4,1:17:00 AM,0
BELT 3,1:17:00 AM,0
BELT 1,1:18:00 AM,0
BELT 2,1:18:00 AM,0
BELT 4,1:18:00 AM,0
BELT 3,1:18:00 AM,0
BELT 1,1:19:00 AM,0
BELT 2,1:19:00 AM,0
BELT 4,1:19:00 AM,0
BELT 3,1:19:00 AM,0
BELT 1,1:20:00 AM,0
BELT 2,1:20:00 AM,0
BELT 4,1:20:00 AM,0
BELT 3,1:20:00 AM,0
BELT 1,1:21:00 AM,0
BELT 2,1:21:00 AM,0
BELT 4,1:21:00 AM,0
BELT 3,1:21:00 AM,0
BELT 1,1:22:00 AM,0
BELT 2,1:22:00 AM,0
BELT 4,1:22:00 AM,0
BELT 3,1:22:00 AM,0
BELT 1,1:23:00 AM,0
BELT 2,1:23:00 AM,0
BELT 4,1:23:00 AM,0
BELT 3,1:23:00 AM,0
BELT 1,1:24:00 AM,0
BELT 2,1:24:00 AM,0
BELT 4,1:24:00 AM,0
BELT 3,1:24:00 AM,0
BELT 1,1:25:00 AM,0
BELT 2,1:25:00 AM,0
BELT 4,1:25:00 AM,0
BELT 3,1:25:00 AM,0
BELT 1,1:26:00 AM,0
BELT 2,1:26:00 AM,0
BELT 4,1:26:00 AM,0
BELT 3,1:26:00 AM,0
BELT 1,1:27:00 AM,0
BELT 2,1:27:00 AM,0
BELT 4,1:27:00 AM,0
BELT 3,1:27:00 AM,0
BELT 1,1:28:00 AM,0
BELT 2,1:28:00 AM,0
BELT 4,1:28:00 AM,0
BELT 3,1:28:00 AM,0
BELT 1,1:29:00 AM,0
BELT 2,1:29:00 AM,0
BELT 4,1:29:00 AM,0
BELT 3,1:29:00 AM,0
BELT 1,1:30:00 AM,0
BELT 2,1:30:00 AM,0
BELT 4,1:30:00 AM,0
BELT 3,1:30:00 AM,0
BELT 1,1:31:00 AM,0
BELT 2,1:31:00 AM,0
